Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Annual Revenue,Tags,2025,,,,,,,2024,,,,,,2023,,,,2022,,2021,,2020,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011
,,,,,,,,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
Cake4Kids,$0.00,$0.00,https://www.cake4kids.org/,,45-3148916,"$1,272,289",Youth development,,,,,,,,1,1047,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Glassroots,$0.00,$0.00,https://glassroots.org/,,22-3671890,"$1,291,203",Youth development,,,,,,,,1,75,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
SpayNSave,$0.00,$0.00,WWW.SPAYNSAVE.ORG,,30-0693930,"$1,302,578",Animal-related; Animals,,,,,,,,1,409,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
SENS Research Foundation,"$19,768.00","$19,718.00",http://www.sens.org/,,94-3473864,"$1,314,297",Health; Medical research; Research,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
Time Out Youth,0,0,https://timeoutyouth.org/,,56-1755564,"$1,335,800",Children and youth; Housing and shelter; Lgbtq+; Religion-related,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sky Youth Empowerment,0,0,https://www.byep.org/what-we-do,,81-0543203,"$1,357,516",Children and youth; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collaborative Family Healthcare Association,0,0,https://www.cfha.net/,,13-3832381,"$1,359,136",Health care; Healthcare; Mental health,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOPO Herorats,"$17,440.00","$14,701.10",https://www.apopo.org/en/,,47-1389723,"$1,489,234",Health; Human rights; Human services; Tuberculosis; War,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
TECHO,"$90,500.00","$90,500.00",http://www.techo.org/en,,27-1479398,"$1,514,335",Human services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$50,000.00","$50,000.00","$40,500.00","$40,500.00",,
Queer Liberation Library,0,0,https://www.queerliberationlibrary.org/,,81-5089505,"$1,651,835",Arts and culture; Education; Lgbtq+; Public & societal benefit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ophelias Place,0,0,https://www.opheliasplace.net/.,,27-4675345,"$1,666,567",Children and youth; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Roots Institute,0,0,https://www.newrootsinstitute.org/,,82-4594246,"$1,670,660","Animals; Children and youth; Civil rights and advocacy; Education; Environment and conservation; Food, agriculture & nutrition; Hunger, food, and nutrition",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
