Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Annual Revenue,Tags,2025,,,,,,,2024,,,,,,2023,,,,2022,,2021,,2020,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011
,,,,,,,,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
Empower Tennessee,$0.00,$0.00,https://empowertennessee.org/,,62-1585996,"$495,282",Human services,,,,,,,,1,154,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Love146 Dayton Task Force,"$40,500.00","$40,500.00",http://146taskforce.org/,,20-1168284,"$5,103,015",Children; Crime & legal-related; Human rights,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,"$40,500.00","$40,500.00",,
Flint Water Fund,"$21,928.00","$21,927.93",http://www.unitedwaygenesee.org/flintwaterfund,United Way of Genesee City,38-1359516,"$5,203,142","Community services; Philanthropy, voluntarism & grantmaking foundations; Water",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93",,,,,,,,,,
Project Drawdown,0,0,https://drawdown.org/,,38-3705448,"$5,275,472",Education; Environment and conservation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Mitochondrial Disease Foundation,"$27,654.00","$27,653.45",https://www.umdf.org/,,25-1767180,"$5,296,793",Health; Voluntary health associations & medical disciplines,,,,,,,,1,188,x (web),,,feat not fund,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Ecology Project International,"$114,066.00","$133,921.62",https://www.ecologyproject.org/,,91-2163952,"$5,327,631",Environment,,,,,,,,19,1181,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00",,,,,,,,,,,,,,,,,
National Eating Disorders Association,0,0,https://www.nationaleatingdisorders.org/,,13-3444882,"$5,439,918",Mental health,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furkids Animal Rescue & Shelters,0,0,https://furkids.org,,01-0766844,"$5,712,911",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Charity Evaluators,0,0,https://animalcharityevaluators.org/,,36-4684978,"$5,903,283",Animal-related,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeSmart Education,0,0,https://lifesmarteducation.org,,27-3013403,"$50,700","Children and youth; Community improvement; Education; International, foreign affairs & national security; Poverty",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water.org,"$150,021.39","$132,010.76",https://water.org/,,58-2060131,"$51,488,759","International, foreign affairs & national security; Water",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10","$18,631.00","$18,630.48",,,,,"$40,271.00","$25,000.00","$15,089.00","$15,088.79","$50,000.00","$50,000.00",,,8590.39,8590.39
Encouraging Women Across All Borders,$0.00,$0.00,https://www.ewaab.org/,,84-3416643,"$51,559",Public & societal benefit; Women's rights,,,,,,,,2,84,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
Painted Dog Conservation,$0.00,$0.00,https://www.painteddog.org/,Wildlife Conservation Network,30-0108469,"$52,477,979",Animal-related; Animals; Environment,,,,,,,,1,98,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildlife Conservation Network,"$21,928.00","$21,927.93",https://wildnet.org/,,30-0108469,"$52,477,979",Animal-related; Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93",,,,,,,,,,
Global Changemakers,0,0,https://www.global-changemakers.net/,,92-2391475,"$52,609",Education; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Peace,"$44,768.00","$44,718.00",http://www.ultimatepeace.org/,,27-2840618,"$526,562","International, foreign affairs & national security; War",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,"$25,000.00","$25,000.00",,,,,,
The Sound of Hope,"$15,089.00","$15,088.79",http://thesoundofhope.org/,,27-2807823,"$53,696","Disaster relief; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,"$15,089.00","$15,088.79",,,,,,
Project Heal,"$36,948.00","$36,947.82",https://www.theprojectheal.org/,,22-3676800,"$532,425",Human services; Youth services,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
Children's Future International ,$0.00,"$37,297.09",WWW.CHILDRENSFUTURE.ORG,,26-1761651,"$535,794","International, foreign affairs & national security; Social services",,,,,,,,1,586,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Plan USA,0,0,https://www.planusa.org/,,13-5661832,"$55,000,000",Education; Basic and emergency aid; Clean water supply,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Reproductive Rights,"$36,948.00","$36,947.82",https://reproductiverights.org/,,13-3669731,"$56,260,101","Civil rights, social action & advocacy; Human rights",,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
Wildlife Waystation,"$78,899.00","$78,848.48",https://wildlifewaystation.org/,,95-3190812,"$565,669",Animal-related; Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,"$40,500.00","$40,500.00",,
Astor Services,$0.00,$0.00,WWW.ASTORSERVICES.ORG,,14-1397918,"$57,624,208",Children; Education; Human services,,,,,,,,1,,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Redwood Empire Food Bank,$0.00,$0.00,http://www.refb.org/,,68-0121855,"$57,800,802","Food, agriculture & nutrition; Hunger",,,,,,,,1,86,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
StepUp Greensboro,0,0,https://www.stepupgreensboro.org/copy-2-of-donate,,45-2184316,"$576,463",Employment,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meals For Unity,0,0,https://mealsforunity.org/,,87-0839266,"$59,548","Aapi; Food, agriculture & nutrition; Hunger, food, and nutrition",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audre Lorde Project,"$68,972.00","$106,268.17",https://alp.org/,,06-1502452,"$590,629",Art; Lgbtq+ rights; Medical research,,,,,,,,1,1054,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Nuclear Age Peace Foundation,$0.00,$0.00,https://www.wagingpeace.org/,,95-3825265,"$591,324","International, foreign affairs & national security; Nuclear weapons",,,,,,,,1,115,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL REFUGE,0,0,https://www.globalrefuge.org/,,01-0833397,"$596,385","Education; Public safety, disaster preparedness & relief",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Promise of the Jersey Shore,0,0,https://familypromise.org/,,26-1970045,"$597,700",Housing and shelter; Human services,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Medicine Foundation,$0.00,$0.00,OMF.NGO,,26-4712664,"$6,058,625",Health; Medical research; Research; Technology,,,,,,,,1,469,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Catholic Migration Services,$0.00,$0.00,https://catholicmigration.org/,,11-2634818,"$6,100,628",,,,,,,,,1,61,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
The Humane Society of New York,$0.00,$0.00,http://www.humanesocietyny.org/,,13-1624041,"$6,611,797",Animal-related; Animals,,,,,,,,1,58,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Coastal Studies,0,0,http://www.coastalstudies.org,,04-2609788,"$6,754,681",Environment; Environment and conservation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Animal Initiative,"$27,654.00","$27,653.45",https://www.wildanimalinitiative.org/,,82-2281466,"$6,958,910",Animal-related; Animals,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
TB Alliance,0,0,https://www.tballiance.org/,,13-4128413,"$60,240,486",Healthcare; Medical research; Tuberculosis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Library Association,"$36,948.00","$36,947.82",https://www.ala.org/,,36-2166947,"$60,808,253",Education; Libraries,,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
Against Malaria Foundation,"$165,517.00","$200,023.38",https://www.againstmalaria.com/,,20-3069841,"$62,286,888",Health; Malaria; Voluntary health associations & medical disciplines,,,,,,,,5,590,x,"$37,297.09",,fund and feat,,,,no fund or feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00",,,,,,,,
Amnesty International,$0.00,$0.00,https://www.amnesty.org/en/,,52-0851555,"$63,084,650","Human rights; International, foreign affairs & national security; Refugees",,,,,,,,1,0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescription Joy,0,0,https://www.prescriptionjoy.org/,,82-3992153,"$64,472",Arts and culture; Children and youth; Health care; Healthcare; Mental health,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic Life Institute,$0.00,$0.00,https://www.ali.fish/,,87-3020380,"$648,814",Animal-related; Animals; Environment,,,,,,,,1,123,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Soup Cafe,$0.00,$0.00,www.thestonesoupcafe.org,,84-3664286,"$662,519","Food, agriculture & nutrition; Workforce development",,,,,,,,1,247,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
California Native Garden Foundation,$0.00,"$37,297.09",https://cngf.org,,72-1562616,"$666,559",Agriculture; Education; Environment,,,,,,,,1,678,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Equal Justice Initiative,"$27,654.00","$27,653.45",https://eji.org/,,63-1135091,"$67,268,484","Civil rights, social action & advocacy; Human rights; Incarceration",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Brooklyn Movement Center,"$27,654.00","$27,653.45",http://brooklynmovementcenter.org/,Fund for City of New York,13-2612524,"$67,312,664","Art; Community services; Philanthropy, voluntarism & grantmaking foundations",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Hispanic Federation,"$19,768.00","$19,718.00",http://hispanicfederation.org/,,13-3573852,"$67,915,333",Community improvement & capacity building; Health; Human services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
Camp Fatima of New Jersey,$0.00,$0.00,https://campfatimanj.org/,,23-7149909,"$674,467",Human services,,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
Not Forgotten,"$305,164.00","$340,131.28",https://www.notforgotten.org/,,26-0734351,"$681,794",Children; Human services; Poverty,,,,,,,,,,,"$37,758.47",,guaranteed,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93","$15,271.00","$15,270.77","$25,000.00","$25,000.00","$50,000.00","$50,000.00","$40,500.00","$40,500.00",,
ASISTA Immigration Assistance,$0.00,$0.00,WWW.ASISTAHELP.ORG,,26-3233209,"$682,219",Human rights; Human services; Immigration,,,,,,,,1,166,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Welfare Initiative,$0.00,$0.00,https://www.fishwelfareinitiative.org/,,85-2065536,"$687,881",Animal-related; Animals,,,,,,,,5,583,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Future Economy Collective,$0.00,$0.00,https://www.southernfoodways.org/interview/future-economy-collective/,,83-1665055,"$69,467",Community improvement & capacity building,,,,,,,,1,782,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
GLSEN,"$19,768.00","$19,718.00",https://www.glsen.org/,,04-3234202,"$7,006,897","Civil rights, social action & advocacy; Lgbtq+ rights",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
Engineers Without Borders,"$18,631.00","$18,630.48",https://www.ewb-usa.org/,,84-1589324,"$7,333,556","Agriculture; Economic development; Environment; International, foreign affairs & national security; Water",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
Beyond Blue,$0.00,$0.00,https://www.beyondblue.org.au/,,37-1730253,"$7,902,854",Education; Health,,,,,,,,1,68,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Kids the World,$0.00,$0.00,https://www.gktw.org/,,59-2654440,"$70,184,568",,,,,,,,,1,53,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Calling All Crows,$0.00,$0.00,https://callingallcrows.org/,,26-3763300,"$700,548","Civil rights, social action & advocacy",,,,,,,,1,119,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirst Project,"$199,811.00","$234,317.75",https://www.thirstproject.org/,,35-2339840,"$710,822","International, foreign affairs & national security; Water",,,,,,,,15,1048,,"$37,297.09",,fund not feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00",,,"$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,"$25,000.00","$25,000.00","$50,000.00","$50,000.00",,,,
Awakening Recovery,0,0,https://awakeningrecovery.org/,,47-4819990,"$731,864",Community improvement; Crime and legal services; Healthcare; Housing and shelter; Mental health; Mental health & crisis intervention; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids In Need of Defense,$0.00,$0.00,https://supportkind.org/,,26-2763038,"$74,419,348",Children; Crime & legal-related,,,,,,,,1,103,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Now I Lay Me Down to Sleep,0,0,https://www.nowilaymedowntosleep.org/,,77-0656322,"$745,408",Healthcare; Human services,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Batten Disease Support, Research, and Advocacy Foundation",0,0,https://bdsrafoundation.org/,,91-1397792,"$746,147",Disability; Voluntary health associations & medical disciplines,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestinian American Community Center,$0.00,"$37,297.09",www.paccusa.org,,46-5270907,"$764,246",Human services,,,,,,,,1,550,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Doctors Without Borders,"$87,404.00","$124,700.47",http://www.doctorswithoutborders.org/,,13-3433452,"$767,362,916","Disaster relief; Health; International, foreign affairs & national security; Tuberculosis",,,,,,,,1,568,x,"$37,297.09",,fund and feat,,,,no fund or feat,,,,,,,,,,,"$21,928.00","$21,927.93","$15,271.00","$15,270.77","$25,000.00","$25,000.00","$25,205.00","$25,204.68",,,,
Giving What We Can,0,0,https://www.givingwhatwecan.org/,,93-3629215,"$768,173","Philanthropy, voluntarism & grantmaking foundations",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On The Move Art Studio,0,0,https://www.onthemoveartstudio.org,,47-2881625,"$77,283",Education; Employment; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsha P. Johnson Institute,"$27,654.00","$27,653.45",https://marshap.org/about-mpji/,Social Good Fund,46-1323531,"$79,491,343",Children; Education; Hunger,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Asian Americans United ,"$36,948.00","$36,947.82",https://aaunited.org/,,22-2981076,"$798,295",Human rights; Youth development,,,,,,,,1,151,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,,,,,,,,,,,,,,,,
ProVeg International,$0.00,"$37,297.09",https://proveg.org/,,46-3038496,"$8,155,427",Animals; Education; Health,,,,,,,,7,934,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
strongminds,$0.00,$0.00,WWW.STRONGMINDS.ORG,,46-2090059,"$8,736,940","International, foreign affairs & national security; Mental health",,,,,,,,1,47,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
This Star Won't Go Out,"$277,465.00","$311,971.20",https://www.tswgo.org/,,27-4235482,"$80,721",Cancer; Health; Human services,,,,,,,,1,1474,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$25,000.00","$50,000.00","$50,000.00",,,,
CAF America,"$9,123.00",$0.00,,,43-1634280,"$816,418,831","Philanthropy, voluntarism & grantmaking foundations",,,,,,,,,,,,,no fund or feat,,,,,,,,,,,"$5,960.00",,"$3,163.00",,,,,,,,,,,,,
RiseBoro Community Partnership,$0.00,$0.00,WWW.RISEBORO.ORG,,11-2453853,"$82,084,359",Community services; Human services,,,,,,,,1,308,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
UNICEF,"$48,614.39","$48,613.65",https://www.unicef.org/,,13-1760110,"$829,050,932","Disaster relief; Health; Human services; International, foreign affairs & national security",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,16590.39,16590.39
The Trevor Project,"$139,066.00","$136,325.63",https://www.thetrevorproject.org/,,95-4681287,"$83,834,544","Civil rights, social action & advocacy; Lgbtq+ rights",,,,,,,,,,,,,no fund or feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,,,"$25,000.00","$25,000.00",,,,,,,,,,
Alveus Sanctuary,0,0,http://www.alveussanctuary.org,,86-1772907,"$849,155",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Book,"$25,205.00","$25,204.68",http://www.firstbook.org/,,52-1779606,"$85,122,503",Education,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,,,,"$25,205.00","$25,204.68",,,,
The Savannah Children's Theatre,0,0,https://www.savannahchildrenstheatre.org/,,20-1578048,"$868,096","Arts and culture; Arts, culture & humanities; Children and youth",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigs4Kids,"$19,768.00","$19,718.00",http://www.wigs4kids.org/,,20-0374667,"$889,856",Children; Health; Human services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
Be The Change Youth Initiative,$0.00,$0.00,https://bethechangeyi.com/,,85-1730074,"$89,568",Youth development; Youth organizing,,,,,,,,1,78,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Literacy for Life,0,0,https://www.literacyforlife.org,,54-1085026,"$893,304",Community improvement; Education; Employment; Immigration; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL LGBTQ TASK FORCE,0,0,https://www.thetaskforce.org/,,52-1624852,"$9,092,543",Education; Lgbtq+,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundación Niños de los Andes,$0.00,$0.00,https://www.ninandes.org/es/,,65-0230929,"$9,342","International, foreign affairs & national security",,,,,,,,1,83,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCK FIP,$0.00,$0.00,https://www.sockfip.org/,,27-1523038,"$90,455",Animal-related; Animals,,,,,,,,1,81,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti Partners,0,0,https://haitipartners.org/about-us/financials/,,26-3768289,"$905,130","Children and youth; Education; International, foreign affairs & national security",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save the Children,"$3,027,852.00","$3,659,776.85",https://www.savethechildren.org/,,06-0726487,"$919,334,410","Children; Human rights; International, foreign affairs & national security; Refugees",,,,,,,guaranteed,1,40,,"$684,967.38",,guaranteed,,"$492,908.15","$492,908.00",guaranteed,"$520,519.13","$520,520.00","$383,628.79","$410,125.00","$172,048.00","$145,551.47","$180,943.00","$180,943.15","$237,702.00","$237,652.00","$272,033.00","$272,033.28","$359,349.00","$359,349.09","$291,724.00","$291,724.41","$50,000.00","$50,000.00","$40,500.00","$40,500.00",,
Limbs for Life,0,0,https://www.limbsforlife.org/,,73-1422414,"$937,685",Disability; Healthcare; Medical research; Science and technology,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motion Picture and Television Fund,$0.00,$0.00,https://www.mptf.com/,,95-1652916,"$94,640,544",Human services; Labor; Social services,,,,,,,,1,63,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Cure Alzheimer's Fund,$0.00,$0.00,https://curealz.org/,,82-1402154,"$95,358","Philanthropy, voluntarism & grantmaking foundations",,,,,,,,1,67,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
charity:water,$0.00,"$15,270.77",https://charitywater.org/,,22-3936753,"$96,818,300",Human services; Water,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,,"$15,270.77",,,,,,,,
Friends of Lackota Animal Sanctuary,0,0,https://www.lackotasfriends.org/,,86-1490591,"$97,151",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas 4000 for Cancer,$0.00,$0.00,WWW.TEXAS4000.ORG,,20-0371876,"$986,849",Cancer; Health; Voluntary health associations & medical disciplines,,,,,,,,1,241,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbor Day Foundation,"$17,440.00","$14,701.10",https://www.arborday.org/,,23-7169265,"$99,061,954",Environment,,,,,,,,,,,,,no fund or feat,,,,,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
Actors Fund,"$27,654.00","$27,653.45",https://actorsfund.org/,,13-1635251,"$99,407,081",Art; Labor; Mutual & membership benefit,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,"$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Mermaids UK ,"$68,972.00","$106,268.17",https://mermaidsuk.org.uk/,UK distributed funds,UK 1160575,"$1,462,998",Lgbtq+ rights,,,,,,,,1,1121,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
Blood Cancer UK,0,0,https://bloodcancer.org.uk/,,England 216032,"$22,992,514",Healthcare,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autistica,0,0,https://www.autistica.org.uk,,UK 1107350,"$3,731,463",Autism; Disability,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carymoor Environmental Trust,$0.00,$0.00,https://www.carymoor.org.uk/,,UK 1089668,"$355,107",,,,,,,,,1,286,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkinson's UK,0,0,https://www.parkinsons.org.uk/,,England 258197,"$58,821,763",Healthcare,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children Change Colombia,0,0,https://childrenchangecolombia.org/,,UK 1075037,"$780,682",Children and youth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoachBright Charitable Trust,$0.00,$0.00,https://www.coachbright.org/,,UK 1194092,"$1,124,490",,,,,,,,,1,31,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Burma Skincare Initiative,0,0,http://www.burmaskincare.org,,UK: 1187197,"$1,209",Healthcare,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Habibi.Works,"$75,347.00","$112,593.39",https://habibi.works/,CAF America/Greece distributed grants,Greece 164727629000,"$140,493",Art; Human services; Refugees,,,,,,,,13,3705,,"$37,297.09",,fund not feat,x,"$36,947.82","$36,948.00",fund and feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,,,,
Equal Rights Beyond Borders,$0.00,$0.00,https://equal-rights.org/,,Greece 996887928,"$682,971",Human rights; Refugees,,,,,,,,1,372,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
A child a dream a future - Un enfant un rêve un avenir,0,0,https://unenfantunreveunavenir.org/,,,,Children and youth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acceptess-T,0,0,https://www.helloasso.com/associations/acceptess-t/formulaires/2,,,,Housing and shelter; Lgbtq+; Poverty,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTRA,0,0,https://www.actra.ngo/,,,,Community improvement,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amigxs Del M.A.R.,0,0,https://www.paypal.com/donate/?hosted_button_id=4U72ZR8SMCJVQ&source=qr,,66-0864878,,Animals; Civil rights and advocacy; Community improvement; Education; Environment; Environment and conservation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Advocacy Africa,0,0,https://www.animaladvocacyafrica.org/,,,,Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Sanctuary Aurora,0,0,,,,,Animals; Civil rights and advocacy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Meets Education,0,0,https://www.artmeetseducation.de/,,,,Education,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belong Center,0,0,http://www.belongcenter.org/donate,,92-1995041,,Community improvement; Public & societal benefit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre for the Governance of AI,0,0,https://www.governance.ai/,,99-4000294,,Public & societal benefit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charity Elections,$0.00,$0.00,,,,,,,,,,,,,1,45,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmopolitan Party Foundation,0,0,https://cosmopolitanparty.org/,,93-3694672,,Civil rights and advocacy; Community improvement; Education; Human rights,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
