Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2024,AZ,7,35,"$17,248,086"
2024,AZ,Total,61,"$32,063,535"
2024,,Summary for Arkansas by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,AR,2,23,"$9,009,750"
2024,AR,3,1,"$759,802"
2024,AR,Total,24,"$9,769,552"
2024,,Summary for California by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,CA,2,2,"$840,140"
2024,CA,4,41,"$17,141,823"
2024,CA,8,1,"$571,691"
2024,CA,11,184,"$136,873,393"
2024,CA,12,50,"$28,565,438"
2024,CA,13,3,"$851,788"
2024,CA,14,5,"$1,499,999"
2024,CA,15,8,"$24,898,027"
2024,CA,16,112,"$83,822,912"
2024,CA,17,7,"$3,746,799"
2024,CA,18,2,"$293,000"
2024,CA,19,12,"$3,703,350"
2024,CA,20,1,"$175,000"
2024,CA,24,4,"$2,321,494"
2024,CA,28,9,"$8,522,145"
2024,CA,29,1,"$1,000,000"
2024,CA,30,16,"$11,865,181"
2024,CA,31,14,"$9,967,071"
2024,CA,32,4,"$2,263,990"
2024,CA,34,1,"$397,931"
2024,CA,35,2,"$248,037"
2024,CA,36,80,"$107,938,031"
2024,CA,37,22,"$12,099,915"
2024,CA,39,13,"$5,775,233"
2024,CA,40,2,"$1,068,993"
2024,CA,42,2,"$5,070,309"
2024,CA,44,9,"$9,531,669"
2024,CA,45,1,"$131,248"
2024,CA,47,66,"$63,739,281"
2024,CA,49,5,"$3,550,957"
2024,CA,50,177,"$156,294,382"
2024,CA,51,14,"$7,996,211"
2024,CA,Total,870,"$712,765,438"
2024,,Summary for Colorado by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,CO,1,14,"$11,462,598"
2024,CO,2,62,"$31,627,381"
2024,CO,6,89,"$33,730,226"
2024,CO,7,2,"$491,685"
2024,CO,Total,167,"$77,311,890"
2024,,Summary for Connecticut by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,CT,2,7,"$3,088,223"
2024,CT,3,132,"$57,246,918"
2024,CT,4,3,"$1,571,664"
2024,CT,5,16,"$6,488,230"
2024,CT,Total,158,"$68,395,035"
2024,,Summary for Delaware by Congressional District,,
