Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2008,,20,23,"$9,929,055"
2008,,21,13,"$5,234,846"
2008,,23,12,"$4,281,226"
2008,,27,1,"$131,260"
2008,,30,45,"$20,713,387"
2008,,32,1,"$301,995"
2008,,Total,259,"$120,525,620"
2008,,Summary for Utah by Congressional District,,
2008,,Congressional District,Awards,Funding
2008,,1,1,"$129,292"
2008,,2,20,"$8,328,778"
2008,,3,1,"$199,776"
2008,,Total,22,"$8,657,846"
2008,,Summary for Vermont by Congressional District,,
2008,,Congressional District,Awards,Funding
2008,,At-Large,13,"$3,853,537"
2008,,Total,13,"$3,853,537"
2008,,Summary for Virginia by Congressional District,,
2008,,Congressional District,Awards,Funding
2008,,2,4,"$703,998"
2008,,3,25,"$7,550,378"
2008,,5,48,"$18,408,739"
2008,,7,1,"$108,000"
2008,,9,16,"$4,554,684"
2008,,10,3,"$550,138"
2008,,11,1,"$203,758"
2008,,Total,98,"$32,079,695"
2008,,Summary for Washington by Congressional District,,
2008,,Congressional District,Awards,Funding
2008,,1,4,"$1,006,738"
2008,,4,2,"$1,677,138"
2008,,5,5,"$1,382,674"
2008,,7,172,"$160,618,838"
2008,,Total,183,"$164,685,388"
2008,,Summary for Wisconsin by Congressional District,,
2008,,Congressional District,Awards,Funding
2008,,2,75,"$24,483,338"
2008,,4,9,"$4,070,025"
2008,,5,23,"$12,246,931"
2008,,7,1,"$367,794"
2008,,Total,108,"$41,168,088"
,,,,
2007,,Summary for Alabama by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,6,"$1,919,641"
2007,,3,1,"$1,229,995"
2007,,6,13,"$11,236,839"
2007,,7,86,"$54,938,828"
2007,,Total,106,"$69,325,303"
2007,,Summary for Arizona by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,2,"$401,635"
2007,,4,2,"$1,499,380"
2007,,5,17,"$8,737,722"
2007,,7,15,"$5,805,695"
2007,,Total,36,"$16,444,432"
2007,,Summary for Arkansas by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,15,"$5,367,289"
2007,,3,1,"$226,975"
2007,,Total,16,"$5,594,264"
2007,,Summary for California by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,36,"$13,507,500"
2007,,6,1,"$286,257"
2007,,7,17,"$5,119,959"
2007,,8,21,"$12,742,343"
2007,,9,49,"$21,962,270"
2007,,11,4,"$2,659,899"
2007,,12,117,"$62,753,775"
2007,,13,2,"$3,576,234"
2007,,14,101,"$60,738,521"
2007,,15,8,"$2,878,032"
2007,,17,6,"$2,395,025"
2007,,23,4,"$1,332,509"
2007,,26,1,"$217,316"
2007,,27,3,"$5,674,192"
2007,,29,6,"$1,507,581"
2007,,30,99,"$47,072,118"
2007,,31,4,"$1,375,740"
2007,,32,7,"$4,311,840"
2007,,33,10,"$5,139,071"
2007,,36,12,"$3,397,411"
2007,,37,3,"$2,067,368"
2007,,38,5,"$1,569,178"
2007,,40,3,"$50,786"
2007,,48,44,"$57,312,377"
2007,,49,1,"$1,000,000"
2007,,50,22,"$24,561,228"
2007,,52,2,"$700,000"
2007,,53,241,"$108,884,926"
2007,,Total,829,"$454,793,456"
2007,,Summary for Colorado by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,22,"$8,191,098"
2007,,2,29,"$4,625,021"
2007,,4,32,"$27,932,828"
2007,,7,46,"$22,218,372"
2007,,Total,129,"$62,967,319"
2007,,Summary for Connecticut by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,4,"$788,049"
2007,,2,6,"$1,955,709"
2007,,3,100,"$37,902,672"
2007,,4,5,"$341,362"
2007,,5,22,"$7,750,171"
2007,,Total,137,"$48,737,963"
2007,,Summary for Delaware by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,1,"$369,009"
2007,,Total,1,"$369,009"
2007,,Summary for District Of Columbia by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,36,"$18,383,337"
2007,,Total,36,"$18,383,337"
2007,,Summary for Florida by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,2,"$701,030"
2007,,4,1,"$225,152"
2007,,6,41,"$27,731,822"
2007,,9,5,"$1,712,330"
2007,,11,4,"$1,134,337"
2007,,17,23,"$8,952,563"
2007,,19,1,"$286,867"
2007,,21,1,"$342,597"
2007,,24,6,"$1,698,042"
2007,,Total,84,"$42,784,740"
2007,,Summary for Georgia by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,5,90,"$55,253,824"
2007,,12,44,"$13,189,247"
2007,,13,1,"$16,500"
2007,,Total,135,"$68,459,571"
2007,,Summary for Hawaii by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,12,"$12,740,819"
2007,,Total,12,"$12,740,819"
2007,,Summary for Idaho by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,3,"$686,338"
2007,,Total,3,"$686,338"
2007,,Summary for Illinois by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,36,"$26,130,523"
2007,,4,4,"$1,303,822"
2007,,5,1,"$2,310,776"
2007,,7,62,"$31,322,202"
2007,,8,1,"$179,999"
2007,,9,13,"$16,197,332"
2007,,10,4,"$807,561"
2007,,11,2,"$504,000"
2007,,14,1,"$207,785"
2007,,15,13,"$4,192,652"
2007,,Total,137,"$83,156,652"
2007,,Summary for Indiana by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,16,"$6,965,299"
2007,,4,11,"$6,525,822"
2007,,7,25,"$11,897,507"
2007,,9,2,"$411,383"
2007,,Total,54,"$25,800,011"
2007,,Summary for Iowa by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,46,"$22,169,244"
2007,,4,12,"$3,236,124"
2007,,Total,58,"$25,405,368"
2007,,Summary for Kansas by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,6,"$1,779,106"
2007,,3,15,"$4,165,794"
2007,,Total,21,"$5,944,900"
2007,,Summary for Kentucky by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,3,9,"$2,789,985"
2007,,6,20,"$9,431,989"
2007,,Total,29,"$12,221,974"
2007,,Summary for Louisiana by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,2,"$708,070"
2007,,2,20,"$9,864,779"
2007,,4,5,"$976,260"
2007,,6,3,"$675,782"
2007,,7,1,"$250,000"
2007,,Total,31,"$12,474,891"
2007,,Summary for Maine by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,1,"$351,338"
2007,,2,3,"$593,758"
2007,,Total,4,"$945,096"
2007,,Summary for Maryland by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,2,"$2,369,191"
2007,,3,5,"$15,443,578"
2007,,4,12,"$55,202,178"
2007,,5,16,"$10,722,019"
2007,,6,11,"$13,415,192"
2007,,7,208,"$110,549,884"
2007,,8,74,"$113,474,922"
2007,,Total,328,"$321,176,964"
2007,,Summary for Massachusetts by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,6,"$1,735,803"
2007,,2,4,"$4,250,607"
2007,,3,85,"$39,953,127"
2007,,4,2,"$1,790,762"
2007,,5,1,"$99,979"
2007,,6,6,"$5,023,223"
2007,,7,9,"$5,802,196"
2007,,8,398,"$240,778,701"
2007,,9,92,"$45,551,487"
2007,,10,4,"$899,632"
2007,,11,1,"$310,640"
2007,,Total,608,"$346,196,157"
2007,,Summary for Michigan by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,3,1,"$364,000"
2007,,6,3,"$1,520,290"
2007,,7,1,"$142,714"
2007,,8,11,"$4,843,315"
2007,,13,10,"$4,398,640"
2007,,15,62,"$20,947,003"
2007,,Total,88,"$32,215,962"
2007,,Summary for Minnesota by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,24,"$8,484,975"
2007,,4,2,"$279,965"
2007,,5,73,"$66,278,997"
2007,,Total,99,"$75,043,937"
2007,,Summary for Mississippi by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,3,"$831,966"
2007,,2,1,"$74,000"
2007,,Total,4,"$905,966"
2007,,Summary for Missouri by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,14,"$9,358,381"
2007,,2,1,"$222,658"
2007,,3,83,"$37,247,681"
2007,,5,3,"$474,907"
2007,,9,12,"$2,900,424"
2007,,Total,113,"$50,204,051"
2007,,Summary for Montana by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,17,"$6,234,665"
2007,,Total,17,"$6,234,665"
2007,,Summary for Nebraska by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,5,"$1,056,499"
2007,,2,7,"$2,090,745"
2007,,Total,12,"$3,147,244"
2007,,Summary for Nevada by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,1,"$280,661"
2007,,2,3,"$1,236,624"
2007,,Total,4,"$1,517,285"
2007,,Summary for New Hampshire by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,29,"$10,543,438"
2007,,Total,29,"$10,543,438"
2007,,Summary for New Jersey by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,3,3,"$5,258,843"
2007,,6,19,"$7,891,600"
2007,,10,37,"$15,475,549"
2007,,11,1,"$11,100,000"
2007,,12,9,"$4,610,778"
2007,,13,1,"$217,650"
2007,,Total,70,"$44,554,420"
2007,,Summary for New Mexico by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,36,"$37,687,082"
2007,,3,3,"$1,632,670"
2007,,Total,39,"$39,319,752"
2007,,Summary for New York by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,22,"$9,722,217"
2007,,2,1,"$3,418,543"
2007,,3,4,"$1,499,920"
2007,,5,6,"$2,406,706"
2007,,8,3,"$2,092,193"
2007,,10,1,"$326,412"
2007,,11,4,"$3,471,844"
2007,,14,211,"$117,143,522"
2007,,15,85,"$41,621,620"
2007,,16,2,"$1,419,067"
2007,,17,2,"$3,323,898"
2007,,18,16,"$10,329,834"
2007,,21,22,"$17,714,000"
2007,,22,25,"$8,461,872"
2007,,23,19,"$7,519,062"
2007,,25,4,"$889,116"
2007,,26,10,"$2,925,729"
2007,,28,58,"$33,396,561"
2007,,Total,495,"$267,682,116"
2007,,Summary for North Carolina by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,3,5,"$1,385,788"
2007,,4,171,"$298,199,100"
2007,,5,20,"$8,195,409"
2007,,7,1,"$3,142,624"
2007,,12,2,"$453,657"
2007,,13,1,"$209,250"
2007,,Total,200,"$311,585,828"
2007,,Summary for North Dakota by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,2,"$446,387"
2007,,36,2,"$425,975"
2007,,Total,4,"$872,362"
2007,,Summary for Ohio by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,45,"$15,712,079"
2007,,2,1,"$394,690"
2007,,7,3,"$12,947,672"
2007,,8,1,"$309,000"
2007,,9,8,"$1,653,084"
2007,,11,58,"$36,949,490"
2007,,12,12,"$3,943,903"
2007,,15,39,"$23,681,436"
2007,,Total,167,"$95,591,354"
2007,,Summary for Oklahoma by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,2,"$399,255"
2007,,3,1,"$215,424"
2007,,4,2,"$694,832"
2007,,5,32,"$13,719,888"
2007,,Total,37,"$15,029,399"
2007,,Summary for Oregon by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,45,"$17,555,800"
2007,,3,1,"$103,876"
2007,,5,13,"$5,566,883"
2007,,Total,59,"$23,226,559"
2007,,Summary for Pennsylvania by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,29,"$9,053,092"
2007,,2,170,"$88,732,367"
2007,,5,14,"$4,308,592"
2007,,6,3,"$1,573,196"
2007,,7,1,"$546,418"
2007,,8,2,"$329,998"
2007,,10,1,"$289,446"
2007,,13,1,"$349,943"
2007,,14,74,"$55,738,821"
2007,,15,1,"$43,026"
2007,,17,13,"$3,739,388"
2007,,18,1,"$6,502"
2007,,Total,310,"$164,710,789"
2007,,Summary for Rhode Island by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,12,"$4,876,331"
2007,,2,15,"$2,081,728"
2007,,Total,27,"$6,958,059"
2007,,Summary for South Carolina by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,5,"$2,122,491"
2007,,2,1,"$1,339,568"
2007,,3,1,"$221,250"
2007,,6,2,"$578,707"
2007,,Total,9,"$4,262,016"
2007,,Summary for South Dakota by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,4,"$626,351"
2007,,Total,4,"$626,351"
2007,,Summary for Tennessee by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,4,"$1,472,238"
2007,,2,4,"$859,117"
2007,,3,2,"$369,381"
2007,,5,55,"$18,597,963"
2007,,9,35,"$34,425,906"
2007,,Total,100,"$55,724,605"
2007,,Summary for Texas by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,6,"$1,388,373"
2007,,7,76,"$31,558,029"
2007,,9,3,"$1,024,339"
2007,,10,2,"$797,329"
2007,,12,3,"$350,823"
2007,,14,46,"$33,445,267"
2007,,16,3,"$1,084,236"
2007,,17,20,"$8,809,844"
2007,,18,1,"$335,250"
2007,,20,29,"$14,238,349"
2007,,21,8,"$3,287,349"
2007,,23,11,"$3,680,937"
2007,,30,53,"$22,995,060"
2007,,32,1,"$307,843"
2007,,Total,262,"$123,303,028"
2007,,Summary for Utah by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,4,"$3,503,635"
2007,,2,20,"$9,519,803"
2007,,3,1,"$225,000"
2007,,Total,25,"$13,248,438"
2007,,Summary for Vermont by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,13,"$5,163,382"
2007,,Total,13,"$5,163,382"
2007,,Summary for Virginia by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,2,"$486,938"
2007,,3,25,"$5,894,399"
2007,,5,56,"$21,682,254"
2007,,6,1,"$183,458"
2007,,7,2,"$351,031"
2007,,8,1,$943
2007,,9,11,"$3,137,084"
2007,,10,11,"$4,742,282"
2007,,11,6,"$18,647,308"
2007,,Total,115,"$55,125,697"
2007,,Summary for Washington by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,3,"$724,473"
2007,,4,1,"$345,154"
2007,,5,7,"$1,498,977"
2007,,7,195,"$188,553,372"
2007,,9,0,"$626,944"
2007,,Total,206,"$191,748,920"
2007,,Summary for West Virginia by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,1,3,"$525,809"
2007,,Total,3,"$525,809"
2007,,Summary for Wisconsin by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,2,78,"$32,634,678"
2007,,3,1,"$184,650"
2007,,4,6,"$5,644,538"
2007,,5,17,"$9,673,310"
2007,,6,1,"$200,625"
2007,,7,1,"$396,423"
2007,,Total,104,"$48,734,224"
2007,,Summary for Wyoming by Congressional District,,
2007,,Congressional District,Awards,Funding
2007,,At-Large,1,"$170,532"
2007,,Total,1,"$170,532"
,,,,
2006,,Summary for Alabama by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,5,"$1,750,818"
2006,,3,1,"$1,231,876"
2006,,6,17,"$10,180,567"
2006,,7,81,"$49,494,450"
2006,,Total,104,"$62,657,711"
2006,,Summary for Arizona by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,2,"$432,732"
2006,,3,1,"$152,196"
2006,,4,2,"$768,604"
2006,,5,15,"$8,392,230"
2006,,7,16,"$6,303,091"
2006,,Total,36,"$16,048,853"
2006,,Summary for Arkansas by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,12,"$3,982,312"
2006,,3,2,"$508,749"
2006,,Total,14,"$4,491,061"
2006,,Summary for California by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,38,"$13,484,657"
2006,,5,2,"$945,997"
2006,,6,2,"$785,107"
2006,,7,15,"$5,341,879"
2006,,8,25,"$15,807,848"
2006,,9,53,"$39,848,752"
2006,,10,1,"$968,488"
2006,,11,9,"$2,357,436"
2006,,12,116,"$85,240,095"
2006,,13,3,"$3,108,344"
2006,,14,101,"$70,786,173"
2006,,15,2,"$2,046,432"
2006,,17,4,"$2,060,207"
2006,,23,5,"$1,630,397"
2006,,26,1,"$185,931"
2006,,27,1,"$836,774"
2006,,29,7,"$1,921,781"
2006,,30,105,"$57,101,375"
2006,,31,9,"$2,391,654"
2006,,32,7,"$4,134,838"
2006,,33,8,"$4,446,263"
2006,,36,10,"$2,515,198"
2006,,37,1,"$374,532"
2006,,38,4,"$1,283,330"
2006,,48,38,"$23,247,591"
2006,,49,1,"$578,386"
2006,,50,22,"$35,404,837"
2006,,52,1,"$300,000"
2006,,53,326,"$197,157,626"
2006,,Total,917,"$576,291,928"
2006,,Summary for Colorado by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,26,"$7,599,265"
2006,,2,27,"$3,937,550"
2006,,4,37,"$27,953,940"
2006,,5,1,"$189,300"
2006,,6,1,"$287,641"
2006,,7,39,"$21,359,056"
2006,,Total,131,"$61,326,752"
2006,,Summary for Connecticut by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,1,"$150,820"
2006,,2,8,"$2,477,112"
2006,,3,102,"$36,815,437"
2006,,4,1,"$297,855"
2006,,5,22,"$8,812,457"
2006,,Total,134,"$48,553,681"
2006,,Summary for Delaware by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,At-Large,1,"$396,948"
2006,,Total,1,"$396,948"
2006,,Summary for District Of Columbia by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,At-Large,49,"$17,740,486"
2006,,Total,49,"$17,740,486"
2006,,Summary for Florida by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,1,"$338,434"
2006,,6,37,"$12,084,989"
2006,,9,5,"$1,615,139"
2006,,11,3,"$994,811"
2006,,17,16,"$6,741,753"
2006,,19,1,"$325,085"
2006,,21,1,"$347,580"
2006,,24,5,"$1,395,674"
2006,,Total,69,"$23,843,465"
2006,,Summary for Georgia by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,5,87,"$41,529,684"
2006,,12,36,"$10,738,482"
2006,,13,1,$1
2006,,Total,124,"$52,268,167"
2006,,Summary for Hawaii by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,9,"$5,546,813"
2006,,Total,9,"$5,546,813"
2006,,Summary for Idaho by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,2,"$408,034"
2006,,Total,2,"$408,034"
2006,,Summary for Illinois by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,28,"$20,946,250"
2006,,4,6,"$1,528,707"
2006,,5,1,"$926,698"
2006,,6,1,"$198,161"
2006,,7,59,"$30,559,541"
2006,,9,14,"$7,547,241"
2006,,10,6,"$3,199,300"
2006,,11,4,"$807,589"
2006,,15,15,"$4,412,458"
2006,,Total,134,"$70,125,945"
2006,,Summary for Indiana by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,14,"$5,430,043"
2006,,4,8,"$5,514,658"
2006,,6,1,"$164,400"
2006,,7,20,"$10,983,970"
2006,,9,1,"$363,758"
2006,,Total,44,"$22,456,829"
2006,,Summary for Iowa by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,38,"$17,207,744"
2006,,4,9,"$2,118,341"
2006,,5,1,"$197,466"
2006,,Total,48,"$19,523,551"
2006,,Summary for Kansas by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,4,"$817,565"
2006,,3,14,"$3,552,685"
2006,,Total,18,"$4,370,250"
2006,,Summary for Kentucky by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,3,9,"$2,397,730"
2006,,6,22,"$5,784,803"
2006,,Total,31,"$8,182,533"
2006,,Summary for Louisiana by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,2,"$1,102,522"
2006,,2,24,"$14,861,661"
2006,,4,9,"$2,328,751"
2006,,6,4,"$792,216"
2006,,7,4,"$1,298,000"
2006,,Total,43,"$20,383,150"
2006,,Summary for Maine by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,1,"$413,123"
2006,,2,5,"$891,898"
2006,,Total,6,"$1,305,021"
2006,,Summary for Maryland by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,2,"$3,774,371"
2006,,3,4,"$851,780"
2006,,4,11,"$73,478,574"
2006,,5,11,"$3,850,410"
2006,,6,5,"$9,831,459"
2006,,7,201,"$128,830,834"
2006,,8,125,"$188,241,435"
2006,,Total,359,"$408,858,863"
2006,,Summary for Massachusetts by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,7,"$2,134,188"
2006,,2,3,"$1,684,524"
2006,,3,82,"$42,032,255"
2006,,4,2,"$7,000,474"
2006,,6,8,"$4,220,718"
2006,,7,7,"$3,985,370"
2006,,8,420,"$284,290,500"
2006,,9,99,"$51,032,821"
2006,,10,8,"$2,207,141"
2006,,11,1,"$313,297"
2006,,28,1,"$487,723"
2006,,Total,638,"$399,389,011"
2006,,Summary for Michigan by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,3,1,"$199,529"
2006,,4,1,"$816,959"
2006,,6,1,"$637,619"
2006,,8,14,"$5,078,419"
2006,,13,14,"$5,962,032"
2006,,15,62,"$20,928,858"
2006,,Total,93,"$33,623,416"
2006,,Summary for Minnesota by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,20,"$9,036,879"
2006,,2,1,"$139,136"
2006,,4,2,"$287,905"
2006,,5,73,"$44,096,834"
2006,,Total,96,"$53,560,754"
2006,,Summary for Mississippi by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,2,"$656,322"
2006,,2,1,"$325,175"
2006,,3,1,"$309,762"
2006,,Total,4,"$1,291,259"
2006,,Summary for Missouri by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,14,"$12,370,722"
2006,,3,84,"$39,046,767"
2006,,5,2,"$322,870"
2006,,9,12,"$4,621,252"
2006,,Total,112,"$56,361,611"
2006,,Summary for Montana by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,At-Large,27,"$15,258,773"
2006,,Total,27,"$15,258,773"
2006,,Summary for Nebraska by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,5,"$999,652"
2006,,2,7,"$1,686,446"
2006,,Total,12,"$2,686,098"
2006,,Summary for Nevada by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,4,"$1,716,008"
2006,,Total,4,"$1,716,008"
2006,,Summary for New Hampshire by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,2,24,"$10,544,495"
2006,,Total,24,"$10,544,495"
2006,,Summary for New Jersey by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,3,1,"$6,955,251"
2006,,4,1,"$135,377"
2006,,6,16,"$5,757,707"
2006,,9,2,"$702,663"
2006,,10,34,"$13,958,572"
2006,,11,0,"$191,115"
2006,,12,10,"$6,022,309"
2006,,Total,64,"$33,722,994"
2006,,Summary for New Mexico by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,28,"$23,853,855"
2006,,2,1,"$106,638"
2006,,3,2,"$768,094"
2006,,Total,31,"$24,728,587"
2006,,Summary for New York by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,17,"$8,653,504"
2006,,2,1,"$3,198,578"
2006,,3,4,"$1,031,101"
2006,,5,6,"$2,178,960"
2006,,8,3,"$1,289,575"
2006,,10,1,"$373,511"
2006,,11,2,"$3,184,353"
2006,,14,200,"$117,481,773"
2006,,15,91,"$47,335,001"
2006,,16,1,"$691,626"
2006,,17,3,"$6,059,460"
2006,,18,13,"$10,907,946"
2006,,20,4,"$2,451,095"
2006,,21,25,"$18,871,489"
2006,,22,26,"$7,983,623"
2006,,23,16,"$6,262,488"
2006,,24,1,"$162,110"
2006,,25,6,"$1,112,001"
2006,,26,14,"$3,676,059"
2006,,27,1,"$990,546"
2006,,28,51,"$29,648,229"
2006,,30,1,"$221,132"
2006,,Total,487,"$273,764,160"
2006,,Summary for North Carolina by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,3,4,"$1,192,990"
2006,,4,173,"$219,569,492"
2006,,5,19,"$7,727,129"
2006,,7,1,"$3,012,852"
2006,,12,3,"$696,330"
2006,,Total,200,"$232,198,793"
2006,,Summary for North Dakota by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,At-Large,3,"$667,085"
2006,,36,1,"$128,790"
2006,,Total,4,"$795,875"
2006,,Summary for Ohio by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,51,"$20,903,781"
2006,,5,1,"$67,867"
2006,,6,1,"$220,500"
2006,,7,19,"$12,886,510"
2006,,9,11,"$2,630,162"
2006,,11,53,"$24,979,748"
2006,,12,11,"$3,747,273"
2006,,15,42,"$19,188,608"
2006,,Total,189,"$84,624,449"
2006,,Summary for Oklahoma by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,1,"$217,232"
2006,,3,7,"$6,980,848"
2006,,4,2,"$703,017"
2006,,5,29,"$10,669,221"
2006,,Total,39,"$18,570,318"
2006,,Summary for Oregon by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,45,"$19,311,615"
2006,,3,1,"$173,696"
2006,,5,10,"$4,770,809"
2006,,Total,56,"$24,256,120"
2006,,Summary for Pennsylvania by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,31,"$8,846,868"
2006,,2,169,"$84,146,323"
2006,,5,12,"$3,606,817"
2006,,6,1,"$386,338"
2006,,7,4,"$9,555,913"
2006,,8,1,"$22,000"
2006,,13,3,"$1,540,334"
2006,,14,75,"$53,090,543"
2006,,17,9,"$2,703,280"
2006,,Total,305,"$163,898,416"
2006,,Summary for Rhode Island by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,12,"$6,298,735"
2006,,2,16,"$3,215,715"
2006,,Total,28,"$9,514,450"
2006,,Summary for South Carolina by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,7,"$2,330,443"
2006,,2,2,"$1,632,637"
2006,,6,2,"$539,191"
2006,,Total,11,"$4,502,271"
2006,,Summary for South Dakota by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,At-Large,4,"$693,993"
2006,,Total,4,"$693,993"
2006,,Summary for Tennessee by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,3,"$1,040,304"
2006,,2,4,"$1,046,455"
2006,,3,1,"$335,951"
2006,,5,62,"$24,448,378"
2006,,9,32,"$14,216,488"
2006,,Total,102,"$41,087,576"
2006,,Summary for Texas by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,7,"$1,504,436"
2006,,7,86,"$31,320,599"
2006,,8,2,"$291,988"
2006,,9,2,"$1,094,504"
2006,,10,1,"$439,677"
2006,,12,2,"$321,000"
2006,,14,53,"$45,866,301"
2006,,16,1,"$252,914"
2006,,17,25,"$9,943,472"
2006,,19,1,"$216,783"
2006,,20,23,"$12,122,636"
2006,,21,8,"$2,101,977"
2006,,23,9,"$3,328,569"
2006,,30,59,"$24,281,746"
2006,,32,1,"$317,038"
2006,,Total,280,"$133,403,640"
2006,,Summary for Utah by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,10,"$5,279,588"
2006,,2,27,"$5,817,273"
2006,,Total,37,"$11,096,861"
2006,,Summary for Vermont by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,At-Large,12,"$4,851,565"
2006,,Total,12,"$4,851,565"
2006,,Summary for Virginia by Congressional District,,
2006,,Congressional District,Awards,Funding
2006,,1,3,"$510,355"
2006,,2,3,"$671,862"
2006,,3,27,"$8,059,702"
2006,,5,51,"$19,959,094"
